,Unnamed: 0,IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId,accident_year,globalid,bikelane_exist,install_yr_accid,barrier,biap,buffered,cnn_accid,contraflow,date_creat,time_creat,created_us,dir,direct,double,facility_t,from_st,fy,greenwave,install_mo,install_yr_bikelane,date_last_,time_last_,last_edite,length,notes,number,objectid,qtr,raised,shape_len,sharrow,sm_sweeper,street_accid,streetname_accid,surface_tr,symbology,to_st,update_mo,update_yr,censusbloc,geometry_accid,_merge,bikelane_installdate,isWeekday,cnn_of_road,road_length,jurisdiction,zip_code,f_node_cnn,date_dropped,gds_chg_id_add,classcode,t_st,accepted,street_gc,cnn_road,layer,nhood,st_type,streetname_road,rt_fadd,f_st,streetname_gc,lf_fadd,date_altered,t_node_cnn,date_added,street_road,gds_chg_id_altered,lf_toadd,gds_chg_id_dropped,oneway,rt_toadd,active,geometry_road,bikelane_length_haver,hour
1663,1678,170048110,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,2017-01-18 00:00:00,2019-08-24 12:36:00,PARK,"ARREST, BOOKED",DIVISADERO ST / TURK ST,-122.43874173736783,37.77965931502583,"(37.77965931502583, -122.43874173736783)",17004811068050,2017,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
1664,1679,170258319,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,2017-03-29 00:00:00,2019-08-24 18:03:00,CENTRAL,"ARREST, BOOKED",TAYLOR ST / GEARY ST,-122.41151882035862,37.78694089988051,"(37.78694089988051, -122.41151882035862)",17025831968050,2017,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
1665,1680,160814131,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",Thursday,2016-10-06 00:00:00,2019-08-24 18:57:00,TENDERLOIN,"ARREST, BOOKED",600 Block of ELLIS ST,-122.41691614218824,37.78439444920679,"(37.784394449206786, -122.41691614218824)",16081413168060,2016,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
1666,1681,170066651,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, INJURY",Tuesday,2017-01-24 00:00:00,2019-08-24 17:40:00,CENTRAL,NONE,BAY ST / KEARNY ST,-122.40714930465734,37.806426731678975,"(37.80642673167898, -122.40714930465734)",17006665168069,2017,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
1667,1682,170571882,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, PROPERTY DAMAGE",Friday,2017-07-14 00:00:00,2019-08-24 12:11:00,INGLESIDE,NONE,OSHAUGHNESSY BL / MALTA DR,-122.44360314078276,37.736501778671645,"(37.73650177867165, -122.44360314078277)",17057188268060,2017,{D5B8C295-ABE0-48C1-B7C9-6644CF4AE594},True,0,,NO,NO,9748201.0,NO,,,,N,2W,1.0,CLASS III,DEL VALE AV,0.0,NO,1,0,2017-10-18,15:53:44.000,JENWONG,0.47,,45,1737.0,0.0,NO,2488.5023772989703,0.0,NO,,O'SHAUGHNESSY BLVD,,BIKE ROUTE,MALTA AV,,0.0,60750217001.0,"LINESTRING (-122.445952527692 37.741194674848, -122.445721262094 37.741046276287, -122.445509209609 37.74099449006, -122.445154351005 37.740946515047, -122.444887283074 37.740892727089, -122.444645302942 37.740817426476, -122.444479497433 37.740712497185, -122.44432796148 37.740592783545, -122.444157548831 37.740381720133, -122.444058705421 37.740245131899, -122.443888631293 37.740103026915, -122.443667773432 37.739994640212, -122.443392777161 37.739917699989, -122.442991172344 37.739833388993, -122.442821321437 37.739783812286, -122.442681558954 37.739693728102, -122.442553531955 37.739561984858, -122.442490170995 37.739451000197, -122.44246615484 37.739233155678, -122.442582284372 37.738559352451, -122.442583145182 37.738311999333, -122.442533436033 37.738162523672, -122.442406920865 37.737808150473, -122.44236004171 37.737626765487, -122.442378564924 37.737424224695, -122.442456828065 37.73726434565, -122.442624727056 37.737099352015, -122.443608089086 37.7364998335)",both,2000-01-01 00:00:00,Weekday,6576101,0.12437522986222042,DPW,94103,,2006-11-16 00:00:00,,,15TH ST,True,,6576101,STREETS,Mission Dolores,,GUERRERO ST,,14TH ST,,,,,1998-07-01 00:00:00,GUERRERO,,,2006-069,,,False,"LINESTRING (-122.4244116899 37.768006425, -122.4243500948 37.7678727623, -122.4242231282 37.7665475866, -122.4242581134 37.7664057673)",0.42554519498822674,12
1668,1683,160568156,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, INJURY",Thursday,2016-07-14 00:00:00,2019-08-24 10:20:00,MISSION,"ARREST, BOOKED",21ST ST / VALENCIA ST,-122.42111847370414,37.756901151172535,"(37.75690115117253, -122.42111847370417)",16056815668069,2016,{97DF4C38-C83A-4F62-9FA0-17B60B1281EF},True,0,,NO,NO,13069000.0,NO,,,,N,2W,0.0,CLASS II,21ST ST,0.0,YES,1,1996,2017-10-18,15:53:43.000,JENWONG,0.06,,45,2629.0,0.0,NO,292.228696688773,0.0,NO,,VALENCIA ST,,BIKE LANE,HILL ST,,0.0,60750208004.0,"LINESTRING (-122.421117540023 37.756902009581, -122.42104114144 37.75610180635)",both,1996-01-01 00:00:00,Weekday,6576101,0.12437522986222042,DPW,94103,,2006-11-16 00:00:00,,,15TH ST,True,,6576101,STREETS,Mission Dolores,,GUERRERO ST,,14TH ST,,,,,1998-07-01 00:00:00,GUERRERO,,,2006-069,,,False,"LINESTRING (-122.4244116899 37.768006425, -122.4243500948 37.7678727623, -122.4242231282 37.7665475866, -122.4242581134 37.7664057673)",0.030110531214872286,10
1669,1684,170930288,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,2017-11-15 00:00:00,2019-08-24 12:15:00,INGLESIDE,"ARREST, BOOKED",ALEMANY BL / PUTNAM ST,-122.41082962375576,37.734733171769655,"(37.73473317176966, -122.41082962375575)",17093028868050,2017,{C8698FC7-D1AA-4EDF-8DD5-848FF87CF27C},True,0,,NO,NO,2156000.0,NO,,,,,2W,1.0,CLASS III,PUTNAM ST,0.0,NO,1,2011,2017-10-18,15:53:52.000,JENWONG,0.08,,45,2792.0,0.0,NO,407.13982548044703,1.0,NO,,ALEMANY BLVD,,BIKE ROUTE,ALEMANY BLVD OFF RAMP,,0.0,60750254023.0,"LINESTRING (-122.409783241865 37.735466961466, -122.409951162075 37.735328553123, -122.410741040047 37.734851239554, -122.41082950106 37.73473291477)",both,2011-01-01 00:00:00,Weekday,1167000,0.13371935656913236,,94107,,2012-07-09 00:00:00,,,ARKANSAS ST,False,,1167000,UPROW,Potrero Hill,,22ND ST,,CONNECTICUT ST,,,,,1998-07-01 00:00:00,22ND,,,2012-008,,,False,"LINESTRING (-122.3970032338 37.7574174042, -122.3979703439 37.7573592227)",0.07757568588904079,12
1670,1685,170628091,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,2017-08-02 00:00:00,2019-08-24 13:58:00,NORTHERN,"ARREST, BOOKED",LOMBARD ST / VANNESS AV,-122.42454187048416,37.801304147798064,"(37.801304147798064, -122.42454187048416)",17062809168050,2017,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
1671,1686,160830927,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,2016-10-16 00:00:00,2019-08-24 07:57:00,CENTRAL,NONE,MASON ST / BUSH ST,-122.41043671621144,37.78994981658849,"(37.78994981658849, -122.41043671621146)",16083092768050,2016,,False,0,,,,,,,,,,,,,,,,1,3000,,,,,,,,,,,,,,,,,,,,,,left_only,,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
1672,1687,160879624,OTHER OFFENSES,"TRAFFIC COLLISION, HIT & RUN, INJURY",Saturday,2016-10-29 00:00:00,2019-08-24 21:24:00,MISSION,"ARREST, BOOKED",FOLSOM ST / 17TH ST,-122.41515594105387,37.76369793088832,"(37.76369793088832, -122.41515594105388)",16087962468069,2016,{EEA77111-29F8-4F3C-8E04-BA066FAE13C7},True,0,,NO,NO,5691000.0,NO,,,,N,2W,0.0,CLASS II,ENTERPRISE ST,0.0,NO,1,2012,2017-10-18,15:53:51.000,JENWONG,0.07,,33,3357.0,0.0,NO,368.29355410833597,0.0,NO,,FOLSOM ST,,BIKE LANE,17TH ST,,0.0,60750177002.0,"LINESTRING (-122.415250649485 37.76470529864, -122.415155085706 37.763696766281)",both,2012-01-01 00:00:00,Weekend,6576101,0.12437522986222042,DPW,94103,,2006-11-16 00:00:00,,,15TH ST,True,,6576101,STREETS,Mission Dolores,,GUERRERO ST,,14TH ST,,,,,1998-07-01 00:00:00,GUERRERO,,,2006-069,,,False,"LINESTRING (-122.4244116899 37.768006425, -122.4243500948 37.7678727623, -122.4242231282 37.7665475866, -122.4242581134 37.7664057673)",0.03793497577767085,21
1673,1688,150643229,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,2015-07-30 00:00:00,2019-08-24 14:00:00,TARAVAL,NONE,SLOAT BL / 39TH AV,-122.475102006298,37.734623708357,"(37.734623708357, -122.475102006298)",15064322968050,2015,{060D915C-4B87-4CEC-B4A3-7608752CB03D},True,0,,NO,NO,11950104.0,NO,,,,,2W,1.0,CLASS III,BEACHMONT DR,0.0,NO,1,2012,2017-10-18,15:54:14.000,JENWONG,0.05,,50,2760.0,0.0,NO,281.719984130066,1.0,NO,,SLOAT BLVD,,BIKE ROUTE,19TH AV,,0.0,60750308004.0,"LINESTRING (-122.474128778905 37.734648856141, -122.475102469823 37.734625571925)",both,2012-01-01 00:00:00,Weekday,6576101,0.12437522986222042,DPW,94103,,2006-11-16 00:00:00,,,15TH ST,True,,6576101,STREETS,Mission Dolores,,GUERRERO ST,,14TH ST,,,,,1998-07-01 00:00:00,GUERRERO,,,2006-069,,,False,"LINESTRING (-122.4244116899 37.768006425, -122.4243500948 37.7678727623, -122.4242231282 37.7665475866, -122.4242581134 37.7664057673)",0.06728523661978252,14
